species;year;month;lon;lat
Amnirana galamensis;2009;4;11,585;7,329972
Amnirana galamensis;2004;7;0,11555;5,84137
Amnirana galamensis;2011;5;-2,28347;8,29326
Amnirana galamensis;2017;12;2,399483;6,95598
Amnirana galamensis;1996;1;-13,293952;13,026214
Amnirana galamensis;1968;5;0,97;8,18
Amnirana galamensis;1984;4;-12,45;9,8
Amnirana galamensis;2004;7;0,11555;5,84137
Amnirana galamensis;1998;6;-0,688056;5,321389
Amnirana galamensis;2011;5;-2,28506;8,29078
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;2010;6;2,1683;6,96026
Amnirana galamensis;2010;5;2,92357;11,11995
Amnirana galamensis;2016;7;1,097679;11,075014
Amnirana galamensis;2005;7;0,56544;8,42942
Amnirana galamensis;2004;7;0,11555;5,84137
Amnirana galamensis;1972;7;3,894833;7,4455
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;2010;6;2,1683;6,96026
Amnirana galamensis;2020;6;1,333358;10,305814
Amnirana galamensis;2016;8;2,191597;13,495645
Amnirana galamensis;1955;1;-0,267;10,95
Amnirana galamensis;2006;4;9,141215;6,42593
Amnirana galamensis;2006;4;9,141215;6,42593
Amnirana galamensis;1998;6;-0,688056;5,321389
Amnirana galamensis;1954;10;-11,5;8,5
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;2010;6;2,1683;6,96026
Amnirana galamensis;2022;1;1,133825;10,811546
Amnirana galamensis;1956;2;-13,221091;13,13915
Amnirana galamensis;2002;11;2,333833;12,532
Amnirana galamensis;1998;5;-0,703333;5,353889
Amnirana galamensis;2011;5;-2,28506;8,29078
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1973;9;1,3;8
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;2017;9;7,978359;7,455394
